maz,maz_nev,evk,evk_nev,szekhely,indulo,honos,osszesen,version
1,BUDAPEST,1,"BUDAPEST, 01. számú OEVK",Budapest V. kerület,60071,60060,60060,1131852
1,BUDAPEST,2,"BUDAPEST, 02. számú OEVK",Budapest XI. kerület,67022,67021,67021,1131852
1,BUDAPEST,3,"BUDAPEST, 03. számú OEVK",Budapest XII. kerület,64649,64644,64644,1131852
1,BUDAPEST,4,"BUDAPEST, 04. számú OEVK",Budapest II. kerület,71456,71464,71464,1131852
1,BUDAPEST,5,"BUDAPEST, 05. számú OEVK",Budapest VII. kerület,59306,59310,59310,1131852
1,BUDAPEST,6,"BUDAPEST, 06. számú OEVK",Budapest VIII. kerület,68703,68691,68691,1131852
1,BUDAPEST,7,"BUDAPEST, 07. számú OEVK",Budapest XIII. kerület,79567,79560,79560,1131852
1,BUDAPEST,8,"BUDAPEST, 08. számú OEVK",Budapest XIV. kerület,75157,75144,75144,1131852
1,BUDAPEST,9,"BUDAPEST, 09. számú OEVK",Budapest X. kerület,72553,72528,72528,1131852
1,BUDAPEST,10,"BUDAPEST, 10. számú OEVK",Budapest III. kerület,70046,70034,70034,1131852
1,BUDAPEST,11,"BUDAPEST, 11. számú OEVK",Budapest IV. kerület,74892,74889,74889,1131852
1,BUDAPEST,12,"BUDAPEST, 12. számú OEVK",Budapest XV. kerület,72352,72338,72338,1131852
1,BUDAPEST,13,"BUDAPEST, 13. számú OEVK",Budapest XVI. kerület,69191,69182,69182,1131852
1,BUDAPEST,14,"BUDAPEST, 14. számú OEVK",Budapest XVII. kerület,74616,74613,74613,1131852
1,BUDAPEST,15,"BUDAPEST, 15. számú OEVK",Budapest XVIII. kerület,78444,78430,78430,1131852
1,BUDAPEST,16,"BUDAPEST, 16. számú OEVK",Budapest XX. kerület,69849,69841,69841,1131852
1,BUDAPEST,17,"BUDAPEST, 17. számú OEVK",Budapest XXI. kerület,74936,74927,74927,1131852
1,BUDAPEST,18,"BUDAPEST, 18. számú OEVK",Budapest XXII. kerület,77373,77373,77373,1131852
2,BARANYA,1,"BARANYA, 01. számú OEVK",Pécs,74858,74840,74840,1131852
2,BARANYA,2,"BARANYA, 02. számú OEVK",Pécs,77078,77058,77058,1131852
