sorszam,szk_nev,evk,evk_nev,cim,akadaly,szamlKijelolt,atjKijelolt,telepSzintu,indulo,honos,osszesen,maz,taz,version
001,"Budapest I. kerület, 001. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Úri u. 38. (Önkormányzat intézménye)",I,N,N,N,1078,1078,1078,01,001,01131852
002,"Budapest I. kerület, 002. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Tárnok u. 9-11. (Budavári Általános Iskola)",I,N,N,N,1020,1020,1020,01,001,01131852
003,"Budapest I. kerület, 003. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK","1011 Budapest 01, Bem rkp. 2. (Önkormányzati helyiség)",I,N,I,I,963,962,962,01,001,01131852
004,"Budapest I. kerület, 004. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Fő u. 31. (III. sz. Idősek Klubja)",I,N,N,N,1330,1329,1329,01,001,01131852
005,"Budapest I. kerület, 005. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Toldy F. u. 9. (Toldy Ferenc Gimnázium)",I,N,N,N,947,947,947,01,001,01131852
006,"Budapest I. kerület, 006. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Toldy F. u. 66. (Vízivárosi Óvoda)",I,N,N,N,1029,1030,1030,01,001,01131852
007,"Budapest I. kerület, 007. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Batthyány u. 8. (Batthyány Általános Iskola)",N,N,N,N,891,890,890,01,001,01131852
008,"Budapest I. kerület, 008. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Hattyú u. 16. (I. sz. Idősek Klubja)",I,N,N,N,915,915,915,01,001,01131852
009,"Budapest I. kerület, 009. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Attila út 135-137. (Kosztolányi Dezső Gimnázium)",I,N,N,N,1029,1029,1029,01,001,01131852
010,"Budapest I. kerület, 010. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Attila út 135-137. (Kosztolányi Dezső Gimnázium)",I,N,N,N,973,974,974,01,001,01131852
011,"Budapest I. kerület, 011. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Attila út 89. (Szociális Szolgáltatási Központ)",I,N,N,N,971,972,972,01,001,01131852
012,"Budapest I. kerület, 012. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Attila út 43. (Petőfi Sándor Gimnázium)",I,N,N,N,1027,1026,1026,01,001,01131852
013,"Budapest I. kerület, 013. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium)",I,N,N,N,1049,1048,1048,01,001,01131852
014,"Budapest I. kerület, 014. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium)",I,N,N,N,1059,1059,1059,01,001,01131852
015,"Budapest I. kerület, 015. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Attila út 43. (Petőfi Sándor Gimnázium)",I,N,N,N,969,969,969,01,001,01131852
016,"Budapest I. kerület, 016. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK","1016 Budapest 01, Nyárs u. 2-4. (Nyárs utcai Óvoda)",I,N,N,N,903,903,903,01,001,01131852
017,"Budapest I. kerület, 017. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Lisznyai u. 40-42.(Általános Iskola)",I,N,N,N,1042,1042,1042,01,001,01131852
018,"Budapest I. kerület, 018. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK","1013 Budapest 01, Döbrentei u. 15. (Mesemúzeum)",I,N,N,N,1031,1031,1031,01,001,01131852
019,"Budapest I. kerület, 019. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK"," Budapest 01, Zsolt utca 6/A. (Felnőtt Háziorvosi Rendelő)",I,N,N,N,952,952,952,01,001,01131852
020,"Budapest I. kerület, 020. számú szavazókör",01,"BUDAPEST főváros, 01. számú OEVK","1016 Budapest 01, Tigris utca 58-60. (Tigris utcai Óvoda)",I,N,N,N,912,911,911,01,001,01131852
001,"Budapest II. kerület, 001. számú szavazókör",04,"BUDAPEST főváros, 04. számú OEVK"," Budapest 02, Ürömi u. 64.  (Újlaki Ált. Isk.)",N,N,N,N,1049,1047,1047,01,002,01131852
